URL,Header,Content,Read More Link,Page Tags,Label
https://www.allsides.com/news/2023-11-16-2138/politics-how-santos-spent-donors-money-ferragamo-onlyfans-and-botox,"How Santos Spent Donors’ Money: Ferragamo, OnlyFans and Botox"," George Santos was utterly triumphant. He had just flipped a Long Island congressional seat, improbably helping deliver Republicans a House majority. It was time for a post-election shopping spree. Over just a few days last November, Mr. Santos dropped $6,000 at Ferragamo, perhaps some of it on the red designer sneakers he later wore to walk the marble halls of Congress. He withdrew $800 in cash at a casino, where an aide said he liked to play roulette. He paid off his rent, and he pulled out another $1,000 in... November 16th, 2023 November 14th, 2023 November 14th, 2023 November 13th, 2023",https://www.nytimes.com/2023/11/16/nyregion/santos-botox-ferragamo-expenses.html,"Politics, George Santos, Pornography, House Ethics Committee, Congress, Campaign Finance",Left
https://www.allsides.com/news/2023-11-16-2132/media-industry-guardian-deletes-osama-bin-laden-letter-after-tiktok-panic,The Guardian Deletes Osama Bin Laden Letter After TikTok Panic," The Guardian has taken down a letter written by Osama bin Laden after it inspired social media posts co-signing his critique of the United States. The outlet replaced a transcript of the jihadist’s 2002 “letter to the American people” with a context note after a surge of related TikToks made it the second-most-viewed page on the site Wednesday. In place of the 4000-word letter, The Guardian’s link now reads, “This page previously displayed a document containing, in translation, the full text of Osama bin Laden’s ‘letter to the American people’,... November 16th, 2023 Andy Gorel November 16th, 2023",https://www.huffpost.com/entry/osama-bin-laden-letter-deleted-guardian_n_655639ede4b0e47670133774,"Media Industry, News Literacy, TikTok, The Guardian, Osama Bin Laden, Terrorism, World",Left
https://www.allsides.com/news/2023-11-16-1738/supreme-court-supreme-court-refuses-revive-florida-law-restricting-drag-shows,Supreme Court Refuses to Revive Florida Law Restricting Drag Shows," The Supreme Court refused on Thursday to revive a Florida law that banned children from “adult live performances” such as drag shows. The court’s brief order gave no reasons, which is typical when the justices act on emergency applications, and a First Amendment challenge to the law will continue in the lower courts. Justices Clarence Thomas, Samuel A. Alito Jr. and Neil M. Gorsuch dissented. Justice Brett M. Kavanaugh, joined by Justice Amy Coney Barrett, issued a statement stressing that the court’s order was addressed to an issue unrelated to the constitutionality of... November 13th, 2023 November 16th, 2023 Andy Gorel November 16th, 2023 AllSides Staff November 16th, 2023",https://www.nytimes.com/2023/11/16/us/politics/supreme-court-florida-law-drag-shows.html,"Supreme Court, Drag Queens, LGBTQ Issues",Left
https://www.allsides.com/news/2023-11-16-1707/justice-mistrial-declared-federal-case-against-former-louisville-cop-over,Mistrial declared in federal case against former Louisville cop over Breonna Taylor raid," A mistrial was declared Thursday by a judge in the federal case against former Louisville police officer Brett Hankison who was charged with violating the civil rights of Breonna Taylor, her boyfriend who was in the house with her, and their neighbors the night Taylor was killed in a botched 2020 police raid. Hours earlier, the jury sent a note to the judge stating that they were at an impasse and had not been able to reach a unanimous decision. The judge then ordered the jury to resume deliberations in what... November 16th, 2023 November 16th, 2023 Andy Gorel November 16th, 2023",https://abcnews.go.com/US/mistrial-declared-federal-trial-former-louisville-cop-breonna/story?id=104873111,"Justice, Breonna Taylor, Police, Criminal Justice, Louisville",Left
https://www.allsides.com/news/2023-11-16-1653/2024-presidential-election-gop-rivals-try-cancel-nikki-haley-over-social-media,GOP rivals try to cancel Nikki Haley over social media proposal," Republican presidential candidate Nikki Haley backtracked Wednesday after her proposal to require social media platforms to verify users' identities appeared to touch a third rail of right-wing politics. Citing national security concerns, Haley told multiple outlets on Tuesday that she thought social platforms should be required to verify all their users by name, because countries like Russia, China, Iran and North Korea use anonymous accounts to sow chaos and division in U.S. politics. (She’s right on this point, FYI). November 13th, 2023 November 16th, 2023 Andy Gorel November 16th, 2023 AllSides Staff November 16th, 2023",https://www.msnbc.com/the-reidout/reidout-blog/nikki-haley-social-media-anonymity-gop-rcna125585,"2024 Presidential Election, Nikki Haley, Social Media, Republican Party, Politics, Cancel Culture",Left
https://www.allsides.com/news/2023-11-16-1409/politics-special-counsel-using-california-grand-jury-hunter-biden-probe,"Special counsel using California grand jury in Hunter Biden probe, subpoenas his uncle James Biden"," Special counsel prosecutors are using a Los Angeles grand jury to seek documents and possible testimony from multiple witnesses as part of the ongoing federal investigation into Hunter Biden’s business dealings, according to people familiar with the probe. James Biden, President Joe Biden’s brother and a one-time business associate of Hunter, is among the individuals who have received a subpoena in recent weeks, according to two sources close to the investigation. The probe appears to be focused on Hunter Biden’s alleged failure to pay taxes, issues that were expected to be resolved by a... November 16th, 2023 November 14th, 2023 November 14th, 2023 November 13th, 2023",https://www.cnn.com/2023/11/16/politics/special-counsel-california-grand-jury-hunter-james-biden/index.html,"Politics, Hunter Biden, Justice, Los Angeles",Left
https://www.allsides.com/news/2023-11-16-1348/gun-control-and-gun-rights-don-t-just-be-horrified-ban-ar-15s-bump-stocks-and,"Don’t just be horrified. Ban AR-15s, bump stocks and large magazines."," Even the best-written accounts cannot fully convey the carnage of mass shootings. The frequency and lethality of massacres on U.S. soil numb society to the moral outrage of slaughtered innocents. The Post this year has documented the carnage created by the AR-15 in a series about the growing prominence of the assault rifle in American life. The latest installment, published Thursday, includes gut-wrenching images from some of the 11 crime scenes they looked at over the past 11 years, alongside quotes from eyewitnesses and first responders. Each photograph, while disturbing, is worth more... November 16th, 2023 Andy Gorel November 16th, 2023 Discuss & Debate violence in america “Conversations in Troubled Times” Special Event Discover hundreds more upcoming events",https://www.washingtonpost.com/opinions/2023/11/16/ar15-bloody-photos-bump-stocks/,"Gun Control And Gun Rights, Violence In America, Mass Shootings",Left
https://www.allsides.com/news/2023-11-16-1331/criminal-justice-college-professor-charged-jewish-protester-s-shocking-death,College Professor Charged in Jewish Protester’s Shocking Death," California cops said Thursday that they’ve arrested a community college professor on an involuntary manslaughter charge in connection with the death of 69-year-old Paul Kessler, who suffered a fatal head injury earlier this month during dueling protests over the Israel-Hamas conflict. The suspect, Loay Alnaji, who reportedly taught at Moorpark College, was arrested Thursday morning and is being held on $1,000,000 bail, arrest records provided by the Ventura County Sheriff’s Office show. The fatal encounter occurred on Nov. 5 in Thousand Oaks, California, where dueling protests of supporters of Palestine... November 15th, 2023 Andy Gorel November 16th, 2023",https://www.thedailybeast.com/paul-kessler-death-suspect-hit-with-involuntary-manslaughter-charge-in-california?ref=home,"Criminal Justice, Anti-Semitism, Protests, Middle East, Israel Hamas Violence",Left
https://www.allsides.com/news/2023-11-16-1329/donald-trump-new-york-judge-lifts-gag-order-barred-trump-maligning-court-staff,New York judge lifts the gag order that barred Trump from maligning court staff in fraud trial," A gag order that barred Donald Trump from commenting about court personnel in his New York civil fraud trial after he maligned a key staffer was paused Thursday by an appellate judge who raised concerns that it violated the former president’s free speech rights. Judge David Friedman, of the state’s intermediate appeals court, issued what’s known a stay — suspending the gag order and allowing Trump to freely comment about court staff while a longer appeals process plays out. Friedman’s ruling also applies to Trump’s lawyers and others involved in... November 14th, 2023 November 10th, 2023 Andy Gorel November 16th, 2023 AllSides Staff November 15th, 2023",https://apnews.com/article/trump-letitia-james-fraud-trial-gag-order-c25e51a094dbcdeffbf67589b1c07f37,"Donald Trump, Trump Organization, Letitia James, Fraud, Gag Order",Left
https://www.allsides.com/news/2023-11-16-1328/criminal-justice-david-depape-found-guilty-hammer-attack-nancy-pelosi-s-husband,David DePape found guilty in hammer attack on Nancy Pelosi’s husband," David DePape, the rightwing conspiracy theorist who attacked Nancy Pelosi’s husband in their San Francisco home, has been convicted of attempted kidnapping and assault. The federal jury’s decision on Thursday comes after a dramatic trial in which Paul Pelosi testified about the “traumatic” hammer attack he suffered on 28 October 2022, days before the midterm elections. DePape also took the stand in his defense, saying he had planned to interrogate the former House speaker and post footage of her online. The jury deliberated for about eight hours before finding DePape... November 15th, 2023 Andy Gorel November 16th, 2023",https://www.theguardian.com/us-news/2023/nov/16/david-depape-guilty-paul-pelosi-trial,"Criminal Justice, Paul Pelosi, Nancy Pelosi, Politics",Left
